Date|symbol|operation|quantity|price|balance
2024-01-02|EMN|BUY|11|89.38|9016.82
2024-01-02|DVA|BUY|9|106.89|8054.81
2024-01-02|STT|BUY|12|77.75|7121.81
2024-01-02|SYK|BUY|3|296.23|6233.12
2024-01-02|ROL|BUY|23|43.27|5237.91
2024-01-02|GILD|BUY|12|83.24|4239.03
2024-01-02|ZTS|BUY|5|196.57|3256.18
2024-01-02|ZBRA|BUY|3|267.98|2452.24
2024-01-02|YUM|BUY|7|129.03|1549.03
2024-01-02|XYL|BUY|8|113.67|639.67
2024-01-02|XOM|BUY|6|102.36|25.51
2024-01-02|WBD|BUY|2|11.66|2.19
2024-01-03|ZBRA|SELL|3|252.52|759.75
2024-01-03|CFG|BUY|23|32.14|20.53
2024-01-03|WBD|BUY|1|11.3|9.23
2024-01-09|WBD|SELL|2|11.03|31.29
2024-01-09|NCLH|BUY|1|17.38|13.91
2024-01-09|WBD|BUY|1|11.03|2.88
2024-01-11|WBD|SELL|1|10.54|13.42
2024-01-11|WBD|BUY|1|10.54|2.88
2024-01-16|WBD|SELL|1|10.35|13.23
2024-01-16|WBD|BUY|1|10.35|2.88
2024-01-17|XOM|SELL|6|96.98|584.76
2024-01-17|ULTA|BUY|1|472.76|112.0
2024-01-17|IVZ|BUY|3|16.65|62.05
2024-01-17|INVH|BUY|1|33.11|28.94
2024-01-17|WBD|BUY|2|10.16|8.62
2024-01-22|GILD|SELL|12|78.43|949.78
2024-01-22|CMI|BUY|4|233.88|14.26
2024-01-22|WBD|BUY|1|10.47|3.79
2024-01-24|EMN|SELL|11|83.8|925.59
2024-01-24|STT|SELL|12|73.84|1811.67
2024-01-24|ZTS|SELL|5|186.07|2742.02
2024-01-24|KEYS|BUY|6|155.22|1810.7
2024-01-24|DTE|BUY|9|102.36|889.46
2024-01-24|ZTS|BUY|4|186.07|145.18
2024-01-24|XOM|BUY|1|99.6|45.58
2024-01-24|WY|BUY|1|33.13|12.45
2024-01-24|WBD|BUY|1|10.41|2.04
2024-02-02|SYK|SELL|3|342.05|1028.19
2024-02-02|TSCO|BUY|10|46.59|562.29
2024-02-02|BBY|BUY|7|75.69|32.46
2024-02-02|WBD|BUY|3|10.25|1.71
2024-02-05|IVZ|SELL|3|15.68|48.75
2024-02-05|WY|BUY|1|32.37|16.38
2024-02-05|WBD|BUY|1|10.07|6.31
2024-02-07|WBD|SELL|1|9.75|16.06
2024-02-07|WBD|SELL|1|9.75|25.81
2024-02-07|WBD|SELL|1|9.75|35.56
2024-02-07|WBD|SELL|1|9.75|45.31
2024-02-07|WY|BUY|1|32.86|12.45
2024-02-07|WBD|BUY|1|9.75|2.7
2024-02-09|NCLH|SELL|1|16.42|19.12
2024-02-09|WBD|SELL|2|9.64|38.4
2024-02-09|WBD|SELL|3|9.64|67.32
2024-02-09|XEL|BUY|1|58.17|9.15
2024-02-13|WBD|SELL|1|9.54|18.69
2024-02-13|WBD|BUY|1|9.54|9.15
2024-02-14|DVA|SELL|9|123.41|1119.84
2024-02-14|ZTS|BUY|1|184.08|935.76
2024-02-14|ZBH|BUY|7|121.84|82.88
2024-02-14|WY|BUY|2|33.03|16.82
2024-02-14|WBD|BUY|1|9.73|7.09
2024-02-16|ROL|SELL|23|41.05|951.24
2024-02-16|PG|BUY|6|157.51|6.18
2024-02-21|KEYS|SELL|6|144.04|870.42
2024-02-21|ZBRA|BUY|3|274.43|47.13
2024-02-21|WY|BUY|1|33.16|13.97
2024-02-21|WBD|BUY|1|9.57|4.4
2024-02-22|ULTA|SELL|1|544.06|548.46
2024-02-22|ZBH|BUY|1|128.54|419.92
2024-02-22|XOM|BUY|4|104.76|0.88
