Date|symbol|sector|quantity|buy_price|price
2024-01-02|EMN|Specialty Chemicals - Materials|11|89.38|89.38
2024-01-02|DVA|Health Care Services - Health Care|9|106.89|106.89
2024-01-02|STT|Asset Management & Custody Banks - Financials|12|77.75|77.75
2024-01-02|SYK|Health Care Equipment - Health Care|3|296.23|296.23
2024-01-02|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.27
2024-01-02|GILD|Biotechnology - Health Care|12|83.24|83.24
2024-01-02|ZTS|Pharmaceuticals - Health Care|5|196.57|196.57
2024-01-02|ZBRA|Electronic Equipment & Instruments - Information Technology|3|267.98|267.98
2024-01-02|YUM|Restaurants - Consumer Discretionary|7|129.03|129.03
2024-01-02|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|113.67
2024-01-02|XOM|Integrated Oil & Gas - Energy|6|102.36|102.36
2024-01-02|WBD|Broadcasting - Communication Services|2|11.66|11.66
2024-01-03|EMN|Specialty Chemicals - Materials|11|89.38|88.01
2024-01-03|DVA|Health Care Services - Health Care|9|106.89|105.29
2024-01-03|STT|Asset Management & Custody Banks - Financials|12|77.75|77.3
2024-01-03|SYK|Health Care Equipment - Health Care|3|296.23|293.94
2024-01-03|ROL|Environmental & Facilities Services - Industrials|23|43.27|42.24
2024-01-03|GILD|Biotechnology - Health Care|12|83.24|83.48
2024-01-03|ZTS|Pharmaceuticals - Health Care|5|196.57|192.93
2024-01-03|YUM|Restaurants - Consumer Discretionary|7|129.03|129.1
2024-01-03|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|111.56
2024-01-03|XOM|Integrated Oil & Gas - Energy|6|102.36|103.22
2024-01-03|WBD|Broadcasting - Communication Services|2|11.66|11.3
2024-01-03|CFG|Regional Banks - Financials|23|32.14|32.14
2024-01-03|WBD|Broadcasting - Communication Services|1|11.3|11.3
2024-01-09|EMN|Specialty Chemicals - Materials|11|89.38|87.8
2024-01-09|DVA|Health Care Services - Health Care|9|106.89|108.45
2024-01-09|STT|Asset Management & Custody Banks - Financials|12|77.75|77.32
2024-01-09|SYK|Health Care Equipment - Health Care|3|296.23|303.25
2024-01-09|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.06
2024-01-09|GILD|Biotechnology - Health Care|12|83.24|86.06
2024-01-09|ZTS|Pharmaceuticals - Health Care|5|196.57|195.94
2024-01-09|YUM|Restaurants - Consumer Discretionary|7|129.03|128.22
2024-01-09|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|112.11
2024-01-09|XOM|Integrated Oil & Gas - Energy|6|102.36|99.67
2024-01-09|CFG|Regional Banks - Financials|23|32.14|33.33
2024-01-09|WBD|Broadcasting - Communication Services|1|11.3|11.03
2024-01-09|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.38
2024-01-09|WBD|Broadcasting - Communication Services|1|11.03|11.03
2024-01-11|EMN|Specialty Chemicals - Materials|11|89.38|87.07
2024-01-11|DVA|Health Care Services - Health Care|9|106.89|109.94
2024-01-11|STT|Asset Management & Custody Banks - Financials|12|77.75|76.26
2024-01-11|SYK|Health Care Equipment - Health Care|3|296.23|308.99
2024-01-11|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.85
2024-01-11|GILD|Biotechnology - Health Care|12|83.24|85.39
2024-01-11|ZTS|Pharmaceuticals - Health Care|5|196.57|196.71
2024-01-11|YUM|Restaurants - Consumer Discretionary|7|129.03|129.0
2024-01-11|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|111.67
2024-01-11|XOM|Integrated Oil & Gas - Energy|6|102.36|98.67
2024-01-11|CFG|Regional Banks - Financials|23|32.14|32.61
2024-01-11|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.51
2024-01-11|WBD|Broadcasting - Communication Services|1|11.03|10.54
2024-01-11|WBD|Broadcasting - Communication Services|1|10.54|10.54
2024-01-16|EMN|Specialty Chemicals - Materials|11|89.38|86.29
2024-01-16|DVA|Health Care Services - Health Care|9|106.89|104.82
2024-01-16|STT|Asset Management & Custody Banks - Financials|12|77.75|75.87
2024-01-16|SYK|Health Care Equipment - Health Care|3|296.23|314.29
2024-01-16|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.68
2024-01-16|GILD|Biotechnology - Health Care|12|83.24|85.99
2024-01-16|ZTS|Pharmaceuticals - Health Care|5|196.57|192.99
2024-01-16|YUM|Restaurants - Consumer Discretionary|7|129.03|129.81
2024-01-16|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|110.96
2024-01-16|XOM|Integrated Oil & Gas - Energy|6|102.36|97.69
2024-01-16|CFG|Regional Banks - Financials|23|32.14|31.2
2024-01-16|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.25
2024-01-16|WBD|Broadcasting - Communication Services|1|10.54|10.35
2024-01-16|WBD|Broadcasting - Communication Services|1|10.35|10.35
2024-01-17|EMN|Specialty Chemicals - Materials|11|89.38|85.71
2024-01-17|DVA|Health Care Services - Health Care|9|106.89|104.65
2024-01-17|STT|Asset Management & Custody Banks - Financials|12|77.75|74.69
2024-01-17|SYK|Health Care Equipment - Health Care|3|296.23|313.68
2024-01-17|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.37
2024-01-17|GILD|Biotechnology - Health Care|12|83.24|86.48
2024-01-17|ZTS|Pharmaceuticals - Health Care|5|196.57|190.9
2024-01-17|YUM|Restaurants - Consumer Discretionary|7|129.03|129.08
2024-01-17|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|109.69
2024-01-17|CFG|Regional Banks - Financials|23|32.14|31.73
2024-01-17|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.08
2024-01-17|WBD|Broadcasting - Communication Services|1|10.54|10.16
2024-01-17|WBD|Broadcasting - Communication Services|1|10.35|10.16
2024-01-17|ULTA|Other Specialty Retail - Consumer Discretionary|1|472.76|472.76
2024-01-17|IVZ|Asset Management & Custody Banks - Financials|3|16.65|16.65
2024-01-17|INVH|Single-Family Residential REITs - Real Estate|1|33.11|33.11
2024-01-17|WBD|Broadcasting - Communication Services|2|10.16|10.16
2024-01-22|EMN|Specialty Chemicals - Materials|11|89.38|87.39
2024-01-22|DVA|Health Care Services - Health Care|9|106.89|104.63
2024-01-22|STT|Asset Management & Custody Banks - Financials|12|77.75|74.31
2024-01-22|SYK|Health Care Equipment - Health Care|3|296.23|313.27
2024-01-22|ROL|Environmental & Facilities Services - Industrials|23|43.27|44.08
2024-01-22|ZTS|Pharmaceuticals - Health Care|5|196.57|191.2
2024-01-22|YUM|Restaurants - Consumer Discretionary|7|129.03|131.06
2024-01-22|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|113.38
2024-01-22|CFG|Regional Banks - Financials|23|32.14|33.17
2024-01-22|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.48
2024-01-22|WBD|Broadcasting - Communication Services|1|10.54|10.47
2024-01-22|WBD|Broadcasting - Communication Services|1|10.35|10.47
2024-01-22|ULTA|Other Specialty Retail - Consumer Discretionary|1|472.76|476.9
2024-01-22|IVZ|Asset Management & Custody Banks - Financials|3|16.65|17.39
2024-01-22|INVH|Single-Family Residential REITs - Real Estate|1|33.11|34.18
2024-01-22|WBD|Broadcasting - Communication Services|2|10.16|10.47
2024-01-22|CMI|Construction Machinery & Heavy Transportation Equipment - Industrials|4|233.88|233.88
2024-01-22|WBD|Broadcasting - Communication Services|1|10.47|10.47
2024-01-24|DVA|Health Care Services - Health Care|9|106.89|104.46
2024-01-24|SYK|Health Care Equipment - Health Care|3|296.23|307.75
2024-01-24|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.29
2024-01-24|YUM|Restaurants - Consumer Discretionary|7|129.03|129.44
2024-01-24|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|111.7
2024-01-24|CFG|Regional Banks - Financials|23|32.14|33.68
2024-01-24|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.51
2024-01-24|WBD|Broadcasting - Communication Services|1|10.54|10.41
2024-01-24|WBD|Broadcasting - Communication Services|1|10.35|10.41
2024-01-24|ULTA|Other Specialty Retail - Consumer Discretionary|1|472.76|478.77
2024-01-24|IVZ|Asset Management & Custody Banks - Financials|3|16.65|15.82
2024-01-24|INVH|Single-Family Residential REITs - Real Estate|1|33.11|33.12
2024-01-24|WBD|Broadcasting - Communication Services|2|10.16|10.41
2024-01-24|CMI|Construction Machinery & Heavy Transportation Equipment - Industrials|4|233.88|235.8
2024-01-24|WBD|Broadcasting - Communication Services|1|10.47|10.41
2024-01-24|KEYS|Electronic Equipment & Instruments - Information Technology|6|155.22|155.22
2024-01-24|DTE|Multi-Utilities - Utilities|9|102.36|102.36
2024-01-24|ZTS|Pharmaceuticals - Health Care|4|186.07|186.07
2024-01-24|XOM|Integrated Oil & Gas - Energy|1|99.6|99.6
2024-01-24|WY|Timber REITs - Real Estate|1|33.13|33.13
2024-01-24|WBD|Broadcasting - Communication Services|1|10.41|10.41
2024-01-31|DVA|Health Care Services - Health Care|9|106.89|108.16
2024-01-31|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.31
2024-01-31|YUM|Restaurants - Consumer Discretionary|7|129.03|129.49
2024-01-31|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|112.44
2024-01-31|CFG|Regional Banks - Financials|23|32.14|32.7
2024-01-31|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.8
2024-01-31|WBD|Broadcasting - Communication Services|1|10.54|10.02
2024-01-31|WBD|Broadcasting - Communication Services|1|10.35|10.02
2024-01-31|ULTA|Other Specialty Retail - Consumer Discretionary|1|472.76|502.05
2024-01-31|IVZ|Asset Management & Custody Banks - Financials|3|16.65|15.83
2024-01-31|INVH|Single-Family Residential REITs - Real Estate|1|33.11|32.93
2024-01-31|WBD|Broadcasting - Communication Services|2|10.16|10.02
2024-01-31|CMI|Construction Machinery & Heavy Transportation Equipment - Industrials|4|233.88|239.3
2024-01-31|WBD|Broadcasting - Communication Services|1|10.47|10.02
2024-01-31|KEYS|Electronic Equipment & Instruments - Information Technology|6|155.22|153.26
2024-01-31|DTE|Multi-Utilities - Utilities|9|102.36|105.42
2024-01-31|ZTS|Pharmaceuticals - Health Care|4|186.07|187.81
2024-01-31|XOM|Integrated Oil & Gas - Energy|1|99.6|102.81
2024-01-31|WY|Timber REITs - Real Estate|1|33.13|32.77
2024-01-31|WBD|Broadcasting - Communication Services|1|10.41|10.02
2024-01-31|TSN|Packaged Foods & Meats - Consumer Staples|17|54.76|54.76
2024-01-31|XEL|Multi-Utilities - Utilities|1|59.87|59.87
2024-01-31|WBD|Broadcasting - Communication Services|1|10.02|10.02
2024-02-05|DVA|Health Care Services - Health Care|9|106.89|110.74
2024-02-05|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.52
2024-02-05|YUM|Restaurants - Consumer Discretionary|7|129.03|126.33
2024-02-05|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|114.08
2024-02-05|CFG|Regional Banks - Financials|23|32.14|31.55
2024-02-05|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.14
2024-02-05|WBD|Broadcasting - Communication Services|1|10.54|10.07
2024-02-05|WBD|Broadcasting - Communication Services|1|10.35|10.07
2024-02-05|ULTA|Other Specialty Retail - Consumer Discretionary|1|472.76|502.38
2024-02-05|INVH|Single-Family Residential REITs - Real Estate|1|33.11|32.22
2024-02-05|WBD|Broadcasting - Communication Services|2|10.16|10.07
2024-02-05|CMI|Construction Machinery & Heavy Transportation Equipment - Industrials|4|233.88|241.11
2024-02-05|WBD|Broadcasting - Communication Services|1|10.47|10.07
2024-02-05|KEYS|Electronic Equipment & Instruments - Information Technology|6|155.22|154.15
2024-02-05|DTE|Multi-Utilities - Utilities|9|102.36|103.92
2024-02-05|ZTS|Pharmaceuticals - Health Care|4|186.07|190.17
2024-02-05|XOM|Integrated Oil & Gas - Energy|1|99.6|101.55
2024-02-05|WY|Timber REITs - Real Estate|1|33.13|32.37
2024-02-05|WBD|Broadcasting - Communication Services|1|10.41|10.07
2024-02-05|TSN|Packaged Foods & Meats - Consumer Staples|17|54.76|57.5
2024-02-05|XEL|Multi-Utilities - Utilities|1|59.87|58.52
2024-02-05|WBD|Broadcasting - Communication Services|1|10.02|10.07
2024-02-05|WY|Timber REITs - Real Estate|1|32.37|32.37
2024-02-05|WBD|Broadcasting - Communication Services|2|10.07|10.07
2024-02-07|DVA|Health Care Services - Health Care|9|106.89|111.61
2024-02-07|ROL|Environmental & Facilities Services - Industrials|23|43.27|44.2
2024-02-07|YUM|Restaurants - Consumer Discretionary|7|129.03|129.64
2024-02-07|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|123.35
2024-02-07|CFG|Regional Banks - Financials|23|32.14|31.31
2024-02-07|NCLH|Hotels, Resorts & Cruise Lines - Consumer Discretionary|1|17.38|17.39
2024-02-07|ULTA|Other Specialty Retail - Consumer Discretionary|1|472.76|514.04
2024-02-07|INVH|Single-Family Residential REITs - Real Estate|1|33.11|32.56
2024-02-07|WBD|Broadcasting - Communication Services|2|10.16|9.75
2024-02-07|CMI|Construction Machinery & Heavy Transportation Equipment - Industrials|4|233.88|248.11
2024-02-07|KEYS|Electronic Equipment & Instruments - Information Technology|6|155.22|158.14
2024-02-07|DTE|Multi-Utilities - Utilities|9|102.36|105.22
2024-02-07|ZTS|Pharmaceuticals - Health Care|4|186.07|197.09
2024-02-07|XOM|Integrated Oil & Gas - Energy|1|99.6|102.22
2024-02-07|WY|Timber REITs - Real Estate|1|33.13|32.86
2024-02-07|TSN|Packaged Foods & Meats - Consumer Staples|17|54.76|53.94
2024-02-07|XEL|Multi-Utilities - Utilities|1|59.87|58.37
2024-02-07|WBD|Broadcasting - Communication Services|1|10.02|9.75
2024-02-07|WY|Timber REITs - Real Estate|1|32.37|32.86
2024-02-07|WBD|Broadcasting - Communication Services|2|10.07|9.75
2024-02-07|WY|Timber REITs - Real Estate|1|32.86|32.86
2024-02-09|DVA|Health Care Services - Health Care|9|106.89|109.86
2024-02-09|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.48
2024-02-09|YUM|Restaurants - Consumer Discretionary|7|129.03|130.27
2024-02-09|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|124.3
2024-02-09|CFG|Regional Banks - Financials|23|32.14|31.5
2024-02-09|INVH|Single-Family Residential REITs - Real Estate|1|33.11|33.07
2024-02-09|CMI|Construction Machinery & Heavy Transportation Equipment - Industrials|4|233.88|251.78
2024-02-09|KEYS|Electronic Equipment & Instruments - Information Technology|6|155.22|161.52
2024-02-09|DTE|Multi-Utilities - Utilities|9|102.36|104.41
2024-02-09|ZTS|Pharmaceuticals - Health Care|4|186.07|197.32
2024-02-09|XOM|Integrated Oil & Gas - Energy|1|99.6|101.77
2024-02-09|WY|Timber REITs - Real Estate|1|33.13|33.28
2024-02-09|TSN|Packaged Foods & Meats - Consumer Staples|17|54.76|52.58
2024-02-09|XEL|Multi-Utilities - Utilities|1|59.87|58.17
2024-02-09|WBD|Broadcasting - Communication Services|1|10.02|9.64
2024-02-09|WY|Timber REITs - Real Estate|1|32.37|33.28
2024-02-09|WBD|Broadcasting - Communication Services|2|10.07|9.64
2024-02-09|WY|Timber REITs - Real Estate|1|32.86|33.28
2024-02-09|ZTS|Pharmaceuticals - Health Care|1|197.32|197.32
2024-02-09|ZBH|Health Care Equipment - Health Care|3|122.8|122.8
2024-02-13|DVA|Health Care Services - Health Care|9|106.89|113.6
2024-02-13|ROL|Environmental & Facilities Services - Industrials|23|43.27|43.85
2024-02-13|YUM|Restaurants - Consumer Discretionary|7|129.03|131.21
2024-02-13|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|121.73
2024-02-13|CFG|Regional Banks - Financials|23|32.14|30.75
2024-02-13|INVH|Single-Family Residential REITs - Real Estate|1|33.11|32.26
2024-02-13|CMI|Construction Machinery & Heavy Transportation Equipment - Industrials|4|233.88|254.5
2024-02-13|KEYS|Electronic Equipment & Instruments - Information Technology|6|155.22|153.15
2024-02-13|DTE|Multi-Utilities - Utilities|9|102.36|104.38
2024-02-13|ZTS|Pharmaceuticals - Health Care|4|186.07|183.49
2024-02-13|XOM|Integrated Oil & Gas - Energy|1|99.6|101.34
2024-02-13|WY|Timber REITs - Real Estate|1|33.13|32.84
2024-02-13|XEL|Multi-Utilities - Utilities|1|59.87|58.28
2024-02-13|WBD|Broadcasting - Communication Services|1|10.02|9.54
2024-02-13|WY|Timber REITs - Real Estate|1|32.37|32.84
2024-02-13|WY|Timber REITs - Real Estate|1|32.86|32.84
2024-02-13|ZBH|Health Care Equipment - Health Care|3|122.8|123.16
2024-02-13|ZTS|Pharmaceuticals - Health Care|1|183.49|183.49
2024-02-13|ZBH|Health Care Equipment - Health Care|4|123.16|123.16
2024-02-13|XOM|Integrated Oil & Gas - Energy|3|101.34|101.34
2024-02-13|WY|Timber REITs - Real Estate|3|32.84|32.84
2024-02-14|ROL|Environmental & Facilities Services - Industrials|23|43.27|44.25
2024-02-14|YUM|Restaurants - Consumer Discretionary|7|129.03|134.01
2024-02-14|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|124.16
2024-02-14|CFG|Regional Banks - Financials|23|32.14|31.31
2024-02-14|INVH|Single-Family Residential REITs - Real Estate|1|33.11|32.33
2024-02-14|KEYS|Electronic Equipment & Instruments - Information Technology|6|155.22|154.89
2024-02-14|DTE|Multi-Utilities - Utilities|9|102.36|105.33
2024-02-14|ZTS|Pharmaceuticals - Health Care|4|186.07|184.08
2024-02-14|XOM|Integrated Oil & Gas - Energy|1|99.6|100.84
2024-02-14|WY|Timber REITs - Real Estate|1|33.13|33.03
2024-02-14|XEL|Multi-Utilities - Utilities|1|59.87|58.68
2024-02-14|WBD|Broadcasting - Communication Services|1|10.02|9.73
2024-02-14|WY|Timber REITs - Real Estate|1|32.37|33.03
2024-02-14|WY|Timber REITs - Real Estate|1|32.86|33.03
2024-02-14|ZBH|Health Care Equipment - Health Care|3|122.8|121.84
2024-02-14|ZTS|Pharmaceuticals - Health Care|1|183.49|184.08
2024-02-14|ZBH|Health Care Equipment - Health Care|4|123.16|121.84
2024-02-14|XOM|Integrated Oil & Gas - Energy|3|101.34|100.84
2024-02-14|WY|Timber REITs - Real Estate|3|32.84|33.03
2024-02-14|ZBH|Health Care Equipment - Health Care|1|121.84|121.84
2024-02-14|XOM|Integrated Oil & Gas - Energy|5|100.84|100.84
2024-02-14|WYNN|Casinos & Gaming - Consumer Discretionary|9|105.21|105.21
2024-02-14|WY|Timber REITs - Real Estate|17|33.03|33.03
2024-02-14|WBD|Broadcasting - Communication Services|2|9.73|9.73
2024-02-16|YUM|Restaurants - Consumer Discretionary|7|129.03|134.55
2024-02-16|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|123.79
2024-02-16|CFG|Regional Banks - Financials|23|32.14|31.56
2024-02-16|INVH|Single-Family Residential REITs - Real Estate|1|33.11|32.7
2024-02-16|KEYS|Electronic Equipment & Instruments - Information Technology|6|155.22|155.22
2024-02-16|DTE|Multi-Utilities - Utilities|9|102.36|107.8
2024-02-16|ZTS|Pharmaceuticals - Health Care|4|186.07|188.39
2024-02-16|XOM|Integrated Oil & Gas - Energy|1|99.6|103.73
2024-02-16|WY|Timber REITs - Real Estate|1|33.13|32.99
2024-02-16|XEL|Multi-Utilities - Utilities|1|59.87|59.07
2024-02-16|WBD|Broadcasting - Communication Services|1|10.02|9.83
2024-02-16|WY|Timber REITs - Real Estate|1|32.37|32.99
2024-02-16|WY|Timber REITs - Real Estate|1|32.86|32.99
2024-02-16|ZBH|Health Care Equipment - Health Care|3|122.8|124.71
2024-02-16|ZTS|Pharmaceuticals - Health Care|1|183.49|188.39
2024-02-16|ZBH|Health Care Equipment - Health Care|4|123.16|124.71
2024-02-16|XOM|Integrated Oil & Gas - Energy|3|101.34|103.73
2024-02-16|WY|Timber REITs - Real Estate|3|32.84|32.99
2024-02-16|ZBH|Health Care Equipment - Health Care|1|121.84|124.71
2024-02-16|XOM|Integrated Oil & Gas - Energy|5|100.84|103.73
2024-02-16|WYNN|Casinos & Gaming - Consumer Discretionary|9|105.21|105.13
2024-02-16|WY|Timber REITs - Real Estate|17|33.03|32.99
2024-02-16|WBD|Broadcasting - Communication Services|2|9.73|9.83
2024-02-16|PG|Personal Care Products - Consumer Staples|5|157.51|157.51
2024-02-16|WY|Timber REITs - Real Estate|4|32.99|32.99
2024-02-16|WBD|Broadcasting - Communication Services|2|9.83|9.83
2024-02-21|YUM|Restaurants - Consumer Discretionary|7|129.03|135.23
2024-02-21|XYL|Industrial Machinery & Supplies & Components - Industrials|8|113.67|123.49
2024-02-21|CFG|Regional Banks - Financials|23|32.14|31.19
2024-02-21|INVH|Single-Family Residential REITs - Real Estate|1|33.11|33.2
2024-02-21|DTE|Multi-Utilities - Utilities|9|102.36|109.16
2024-02-21|ZTS|Pharmaceuticals - Health Care|4|186.07|188.38
2024-02-21|XOM|Integrated Oil & Gas - Energy|1|99.6|104.85
2024-02-21|WY|Timber REITs - Real Estate|1|33.13|33.16
2024-02-21|XEL|Multi-Utilities - Utilities|1|59.87|59.81
2024-02-21|WBD|Broadcasting - Communication Services|1|10.02|9.57
2024-02-21|WY|Timber REITs - Real Estate|1|32.37|33.16
2024-02-21|WY|Timber REITs - Real Estate|1|32.86|33.16
2024-02-21|ZBH|Health Care Equipment - Health Care|3|122.8|128.35
2024-02-21|ZTS|Pharmaceuticals - Health Care|1|183.49|188.38
2024-02-21|ZBH|Health Care Equipment - Health Care|4|123.16|128.35
2024-02-21|XOM|Integrated Oil & Gas - Energy|3|101.34|104.85
2024-02-21|WY|Timber REITs - Real Estate|3|32.84|33.16
2024-02-21|ZBH|Health Care Equipment - Health Care|1|121.84|128.35
2024-02-21|XOM|Integrated Oil & Gas - Energy|5|100.84|104.85
2024-02-21|WYNN|Casinos & Gaming - Consumer Discretionary|9|105.21|102.38
2024-02-21|WY|Timber REITs - Real Estate|17|33.03|33.16
2024-02-21|WBD|Broadcasting - Communication Services|2|9.73|9.57
2024-02-21|PG|Personal Care Products - Consumer Staples|5|157.51|160.4
2024-02-21|WY|Timber REITs - Real Estate|4|32.99|33.16
2024-02-21|WBD|Broadcasting - Communication Services|2|9.83|9.57
2024-02-21|ZBRA|Electronic Equipment & Instruments - Information Technology|3|274.43|274.43
2024-02-21|WY|Timber REITs - Real Estate|1|33.16|33.16
2024-02-21|WBD|Broadcasting - Communication Services|1|9.57|9.57
2024-02-22|YUM|Restaurants - Consumer Discretionary|7|129.03|137.33
2024-02-22|CFG|Regional Banks - Financials|23|32.14|31.08
2024-02-22|INVH|Single-Family Residential REITs - Real Estate|1|33.11|33.12
2024-02-22|DTE|Multi-Utilities - Utilities|9|102.36|107.02
2024-02-22|ZTS|Pharmaceuticals - Health Care|4|186.07|196.66
2024-02-22|XOM|Integrated Oil & Gas - Energy|1|99.6|104.76
2024-02-22|WY|Timber REITs - Real Estate|1|33.13|33.69
2024-02-22|XEL|Multi-Utilities - Utilities|1|59.87|59.33
2024-02-22|WBD|Broadcasting - Communication Services|1|10.02|9.56
2024-02-22|WY|Timber REITs - Real Estate|1|32.37|33.69
2024-02-22|WY|Timber REITs - Real Estate|1|32.86|33.69
2024-02-22|ZBH|Health Care Equipment - Health Care|3|122.8|128.54
2024-02-22|ZTS|Pharmaceuticals - Health Care|1|183.49|196.66
2024-02-22|ZBH|Health Care Equipment - Health Care|4|123.16|128.54
2024-02-22|XOM|Integrated Oil & Gas - Energy|3|101.34|104.76
2024-02-22|WY|Timber REITs - Real Estate|3|32.84|33.69
2024-02-22|ZBH|Health Care Equipment - Health Care|1|121.84|128.54
2024-02-22|XOM|Integrated Oil & Gas - Energy|5|100.84|104.76
2024-02-22|WYNN|Casinos & Gaming - Consumer Discretionary|9|105.21|102.42
2024-02-22|WY|Timber REITs - Real Estate|17|33.03|33.69
2024-02-22|WBD|Broadcasting - Communication Services|2|9.73|9.56
2024-02-22|PG|Personal Care Products - Consumer Staples|5|157.51|160.56
2024-02-22|WY|Timber REITs - Real Estate|4|32.99|33.69
2024-02-22|WBD|Broadcasting - Communication Services|2|9.83|9.56
2024-02-22|ZBRA|Electronic Equipment & Instruments - Information Technology|3|274.43|279.48
2024-02-22|WY|Timber REITs - Real Estate|1|33.16|33.69
2024-02-22|WBD|Broadcasting - Communication Services|1|9.57|9.56
2024-02-22|XYL|Industrial Machinery & Supplies & Components - Industrials|8|125.1|125.1
2024-02-23|YUM|Restaurants - Consumer Discretionary|7|129.03|138.32
2024-02-23|CFG|Regional Banks - Financials|23|32.14|31.15
2024-02-23|INVH|Single-Family Residential REITs - Real Estate|1|33.11|33.28
2024-02-23|DTE|Multi-Utilities - Utilities|9|102.36|108.45
2024-02-23|ZTS|Pharmaceuticals - Health Care|4|186.07|197.21
2024-02-23|XOM|Integrated Oil & Gas - Energy|1|99.6|103.84
2024-02-23|WY|Timber REITs - Real Estate|1|33.13|33.38
2024-02-23|XEL|Multi-Utilities - Utilities|1|59.87|59.33
2024-02-23|WY|Timber REITs - Real Estate|1|32.37|33.38
2024-02-23|WY|Timber REITs - Real Estate|1|32.86|33.38
2024-02-23|ZBH|Health Care Equipment - Health Care|3|122.8|129.18
2024-02-23|ZTS|Pharmaceuticals - Health Care|1|183.49|197.21
2024-02-23|ZBH|Health Care Equipment - Health Care|4|123.16|129.18
2024-02-23|XOM|Integrated Oil & Gas - Energy|3|101.34|103.84
2024-02-23|WY|Timber REITs - Real Estate|3|32.84|33.38
2024-02-23|ZBH|Health Care Equipment - Health Care|1|121.84|129.18
2024-02-23|XOM|Integrated Oil & Gas - Energy|5|100.84|103.84
2024-02-23|WYNN|Casinos & Gaming - Consumer Discretionary|9|105.21|104.16
2024-02-23|WY|Timber REITs - Real Estate|17|33.03|33.38
2024-02-23|PG|Personal Care Products - Consumer Staples|5|157.51|161.03
2024-02-23|WY|Timber REITs - Real Estate|4|32.99|33.38
2024-02-23|ZBRA|Electronic Equipment & Instruments - Information Technology|3|274.43|274.99
2024-02-23|WY|Timber REITs - Real Estate|1|33.16|33.38
2024-02-23|XYL|Industrial Machinery & Supplies & Components - Industrials|8|125.1|125.63
2024-02-23|WY|Timber REITs - Real Estate|1|33.38|33.38
2024-02-23|WBD|Broadcasting - Communication Services|2|8.61|8.61
2024-02-26|YUM|Restaurants - Consumer Discretionary|7|129.03|138.06
2024-02-26|INVH|Single-Family Residential REITs - Real Estate|1|33.11|33.31
2024-02-26|DTE|Multi-Utilities - Utilities|9|102.36|106.19
2024-02-26|ZTS|Pharmaceuticals - Health Care|4|186.07|197.04
2024-02-26|XOM|Integrated Oil & Gas - Energy|1|99.6|104.25
2024-02-26|WY|Timber REITs - Real Estate|1|33.13|32.78
2024-02-26|XEL|Multi-Utilities - Utilities|1|59.87|58.05
2024-02-26|WY|Timber REITs - Real Estate|1|32.37|32.78
2024-02-26|WY|Timber REITs - Real Estate|1|32.86|32.78
2024-02-26|ZBH|Health Care Equipment - Health Care|3|122.8|126.88
2024-02-26|ZTS|Pharmaceuticals - Health Care|1|183.49|197.04
2024-02-26|ZBH|Health Care Equipment - Health Care|4|123.16|126.88
2024-02-26|XOM|Integrated Oil & Gas - Energy|3|101.34|104.25
2024-02-26|WY|Timber REITs - Real Estate|3|32.84|32.78
2024-02-26|ZBH|Health Care Equipment - Health Care|1|121.84|126.88
2024-02-26|XOM|Integrated Oil & Gas - Energy|5|100.84|104.25
2024-02-26|WYNN|Casinos & Gaming - Consumer Discretionary|9|105.21|103.24
